label,text
A411090,버스승강장 등에 반사지 부착으로 안전사고 예방에 기여적극적이고 창의적인 발상으로 적은 비용으로 버스.택시 승강장 등에 시 심볼을 새긴 고휘도 반사지 부착을 추진하여 안전사고 예방 및 도시 이미지 제고에 기여한 공적이 있다고 인정되어 감사원장의 표창대상자로 선정
A411090,CCTV에 범죄예방 환경디자인 적용으로 범죄발생 예방에 기여적극적이고 창의적인 발상으로 방범용 CCTV에 범죄예방 환경디자인을 적용하여 범죄발생 예방에 기여한 공적이 있다고 인정하여 감사원장의 표창대상자로 선정
A411090,"자활텃밭 조성사업 추진으로 장애인 등의 일자리 창출에 기여부산광역시는 장애인,노숙경험인을 위한 자활텃밭 조성사업을 착안하여 추진하면서 유휴 국공유지를 확보하고 설계 과정에서 의견 수렴을 거쳐 편의시설 등을 설계에 반영하는 한편 다른 공사 현장의 토사 등을 활용하여 제한된 예산으로 효율적으로 사업을 추진하기 위해 노력하는 등 위 사업 추진을 통해 사회 취약계층의 일자리 창출에 기여하였으므로, 관련자를 감사원장 표창 대상으로 선정"
A411090,공장입지 용도지역 등 기업규제 개선으로 기업활동 활성화에 기여공장입지 용도지역 등 기업규제 개선으로 기업활동 활성화에 기여
A411090,산업단지 입주지원을 통해 개성공단기업의 조기 정상화에 기여전라북도는 '16년 3월 개성공단 폐쇄로 대체투자지를 찾고 있던 의류업체가 입주업종제한으로 전주산업단지로 이주하기 어려워지자 의류업체도 입주할 수 있도록 전주시에 산업단지 관리계획 변경신청을 신속히 하도록 설득하고 '16. 4. 4. 전주시의 변경신청 후 3일 만에 승인하는 등 위 업체가 '16년 6월 생산설비공사를 조기 착공하는 데 적극 지원
A411090,"아침 도시락 배달사업 추진으로 결식아동, 청소년 복지에 기여전주시(생활복지과)는 '14. 10월부터 관내 18세 이하 결식 우려 아동·청소년 183명('16년부터 277명으로 확대)에게 주 6회 아침마다 보온도시락을 배달하여 - 지방자치단체 최초로 결식 아동·청소년의 아침을 해결하는데 기여하였고, 불우이웃돕기 분위기 조성에도 기여"
A411090,민간재원 활용으로 국가산업단지 조성비 절감에 기여광양시는 국가산업단지인 명당3지구 산업단지를 조성하면서 한국남부발전주식회사 하동화력발전본부에서 생산되는 석탄재를 직접 공급받아 토사와 혼합하여 매립재로 사용하는 협약을 체결함에 따라 조성비 54억여 원 상당을 절감
A411090,산재보험 가입 추진으로 하역 노동조합원 보호에 기여제도적·현실적 어려움 등으로 인해 산재보험 가입이 어려웠던 가락시장 하역노동조합원을 산업재해로부터 보호하기 위해 서울특별시농수산식품공사 유통본부 유통물류팀에서 적극적으로 하역노조원의 산재보험가입을 추진하여 가입시킴으로써 복지 사각지대 해소에 기여
A411090,기상관측장비 자료처리기 통합 설치로 예산절감에 기여기상관측장비 설치시 자료처리기를 추가로 설치하던 것을 기존 자료처리기에 통합설치하여 예산절감에 기여
A411090,"기금 정비를 통한 지방재정의 효율성 제고 및 건전성 확보경상남도에서 중소기업육성기금 등 12개 기금을 일반회계에 통,폐합하여 채무 조기상환 등에 활용하도록 함으로써 지방재정 건전성 확보"
